country_region,iso3166_1,date,daily_cases,daily_deaths,population
Albania,AL,2020-03-09,2.0,0.0,2862427.0
Albania,AL,2020-03-10,4.0,0.0,2862427.0
Albania,AL,2020-03-11,4.0,0.0,2862427.0
Albania,AL,2020-03-12,1.0,1.0,2862427.0
Albania,AL,2020-03-13,12.0,0.0,2862427.0
Albania,AL,2020-03-14,10.0,0.0,2862427.0
Albania,AL,2020-03-15,5.0,0.0,2862427.0
Albania,AL,2020-03-16,4.0,0.0,2862427.0
Albania,AL,2020-03-17,9.0,0.0,2862427.0
Albania,AL,2020-03-18,4.0,0.0,2862427.0
Albania,AL,2020-03-19,4.0,1.0,2862427.0
Albania,AL,2020-03-20,11.0,0.0,2862427.0
Albania,AL,2020-03-21,0.0,0.0,2862427.0
Albania,AL,2020-03-22,6.0,0.0,2862427.0
Albania,AL,2020-03-23,13.0,0.0,2862427.0
Albania,AL,2020-03-24,11.0,2.0,2862427.0
Albania,AL,2020-03-25,23.0,1.0,2862427.0
Albania,AL,2020-03-26,23.0,0.0,2862427.0
Albania,AL,2020-03-27,28.0,1.0,2862427.0
Albania,AL,2020-03-28,12.0,3.0,2862427.0
Albania,AL,2020-03-29,11.0,1.0,2862427.0
Albania,AL,2020-03-30,15.0,0.0,2862427.0
Albania,AL,2020-03-31,11.0,2.0,2862427.0
Albania,AL,2020-04-01,20.0,3.0,2862427.0
Albania,AL,2020-04-02,16.0,0.0,2862427.0
Albania,AL,2020-04-03,18.0,1.0,2862427.0
Albania,AL,2020-04-04,27.0,1.0,2862427.0
Albania,AL,2020-04-05,29.0,2.0,2862427.0
Albania,AL,2020-04-06,28.0,2.0,2862427.0
Albania,AL,2020-04-07,16.0,1.0,2862427.0
Albania,AL,2020-04-08,6.0,0.0,2862427.0
Albania,AL,2020-04-09,17.0,0.0,2862427.0
Albania,AL,2020-04-10,9.0,1.0,2862427.0
Albania,AL,2020-04-11,7.0,0.0,2862427.0
Albania,AL,2020-04-12,17.0,0.0,2862427.0
Albania,AL,2020-04-13,13.0,0.0,2862427.0
Albania,AL,2020-04-14,21.0,0.0,2862427.0
Albania,AL,2020-04-15,8.0,1.0,2862427.0
Albania,AL,2020-04-16,19.0,1.0,2862427.0
Albania,AL,2020-04-17,24.0,1.0,2862427.0
Albania,AL,2020-04-18,21.0,0.0,2862427.0
Albania,AL,2020-04-19,9.0,0.0,2862427.0
Albania,AL,2020-04-20,14.0,0.0,2862427.0
Albania,AL,2020-04-21,22.0,0.0,2862427.0
Albania,AL,2020-04-22,25.0,0.0,2862427.0
Albania,AL,2020-04-23,25.0,1.0,2862427.0
Albania,AL,2020-04-24,29.0,0.0,2862427.0
Albania,AL,2020-04-25,15.0,0.0,2862427.0
Albania,AL,2020-04-26,34.0,0.0,2862427.0
Albania,AL,2020-04-27,14.0,1.0,2862427.0
Albania,AL,2020-04-28,10.0,0.0,2862427.0
Albania,AL,2020-04-29,14.0,2.0,2862427.0
Albania,AL,2020-04-30,16.0,1.0,2862427.0
Albania,AL,2020-05-01,7.0,0.0,2862427.0
Albania,AL,2020-05-02,9.0,0.0,2862427.0
Albania,AL,2020-05-03,7.0,0.0,2862427.0
Albania,AL,2020-05-04,6.0,0.0,2862427.0
Albania,AL,2020-05-05,8.0,0.0,2862427.0
Albania,AL,2020-05-06,17.0,0.0,2862427.0
Albania,AL,2020-05-07,12.0,0.0,2862427.0
Albania,AL,2020-05-08,10.0,0.0,2862427.0
Albania,AL,2020-05-09,8.0,0.0,2862427.0
Albania,AL,2020-05-10,6.0,0.0,2862427.0
Albania,AL,2020-05-11,12.0,0.0,2862427.0
Albania,AL,2020-05-12,4.0,0.0,2862427.0
Albania,AL,2020-05-13,4.0,0.0,2862427.0
Albania,AL,2020-05-14,4.0,0.0,2862427.0
Albania,AL,2020-05-15,18.0,0.0,2862427.0
Albania,AL,2020-05-16,18.0,0.0,2862427.0
Albania,AL,2020-05-17,17.0,0.0,2862427.0
Albania,AL,2020-05-18,13.0,0.0,2862427.0
Albania,AL,2020-05-19,2.0,0.0,2862427.0
Albania,AL,2020-05-20,1.0,0.0,2862427.0
Albania,AL,2020-05-21,15.0,0.0,2862427.0
Albania,AL,2020-05-22,5.0,0.0,2862427.0
Albania,AL,2020-05-23,12.0,0.0,2862427.0
Albania,AL,2020-05-24,8.0,0.0,2862427.0
Albania,AL,2020-05-25,9.0,1.0,2862427.0
Albania,AL,2020-05-26,6.0,0.0,2862427.0
Albania,AL,2020-05-27,25.0,1.0,2862427.0
Albania,AL,2020-05-28,21.0,0.0,2862427.0
Albania,AL,2020-05-29,26.0,0.0,2862427.0
Albania,AL,2020-05-30,23.0,0.0,2862427.0
Albania,AL,2020-05-31,23.0,0.0,2862427.0
Albania,AL,2020-06-01,15.0,0.0,2862427.0
Albania,AL,2020-06-02,6.0,0.0,2862427.0
Albania,AL,2020-06-03,21.0,0.0,2862427.0
Albania,AL,2020-06-04,20.0,0.0,2862427.0
Albania,AL,2020-06-05,13.0,0.0,2862427.0
Albania,AL,2020-06-06,15.0,0.0,2862427.0
Albania,AL,2020-06-07,20.0,1.0,2862427.0
Albania,AL,2020-06-08,14.0,0.0,2862427.0
Albania,AL,2020-06-09,17.0,0.0,2862427.0
Albania,AL,2020-06-10,36.0,0.0,2862427.0
Albania,AL,2020-06-11,42.0,0.0,2862427.0
Albania,AL,2020-06-12,44.0,1.0,2862427.0
Albania,AL,2020-06-13,31.0,1.0,2862427.0
Albania,AL,2020-06-14,48.0,0.0,2862427.0
Albania,AL,2020-06-15,57.0,0.0,2862427.0
Albania,AL,2020-06-16,69.0,0.0,2862427.0
Albania,AL,2020-06-17,82.0,1.0,2862427.0
Albania,AL,2020-06-18,50.0,1.0,2862427.0
Albania,AL,2020-06-19,66.0,1.0,2862427.0
Albania,AL,2020-06-20,50.0,3.0,2862427.0
Albania,AL,2020-06-21,53.0,1.0,2862427.0
Albania,AL,2020-06-22,36.0,1.0,2862427.0
Albania,AL,2020-06-23,68.0,0.0,2862427.0
Albania,AL,2020-06-24,52.0,1.0,2862427.0
Albania,AL,2020-06-25,67.0,2.0,2862427.0
Albania,AL,2020-06-26,78.0,2.0,2862427.0
Albania,AL,2020-06-27,77.0,2.0,2862427.0
Albania,AL,2020-06-28,61.0,2.0,2862427.0
Albania,AL,2020-06-29,72.0,2.0,2862427.0
Albania,AL,2020-06-30,64.0,3.0,2862427.0
Albania,AL,2020-07-01,69.0,4.0,2862427.0
Albania,AL,2020-07-02,45.0,3.0,2862427.0
Albania,AL,2020-07-03,82.0,4.0,2862427.0
Albania,AL,2020-07-04,90.0,3.0,2862427.0
Albania,AL,2020-07-05,67.0,2.0,2862427.0
Albania,AL,2020-07-06,74.0,2.0,2862427.0
Albania,AL,2020-07-07,71.0,3.0,2862427.0
Albania,AL,2020-07-08,74.0,2.0,2862427.0
Albania,AL,2020-07-09,68.0,2.0,2862427.0
Albania,AL,2020-07-10,82.0,0.0,2862427.0
Albania,AL,2020-07-11,90.0,2.0,2862427.0
Albania,AL,2020-07-12,93.0,4.0,2862427.0
Albania,AL,2020-07-13,83.0,4.0,2862427.0
Albania,AL,2020-07-14,117.0,2.0,2862427.0
Albania,AL,2020-07-15,96.0,2.0,2862427.0
Albania,AL,2020-07-16,85.0,4.0,2862427.0
Albania,AL,2020-07-17,99.0,3.0,2862427.0
Albania,AL,2020-07-18,55.0,3.0,2862427.0
Albania,AL,2020-07-19,102.0,4.0,2862427.0
Albania,AL,2020-07-20,82.0,1.0,2862427.0
Albania,AL,2020-07-21,81.0,1.0,2862427.0
Albania,AL,2020-07-22,119.0,4.0,2862427.0
Albania,AL,2020-07-23,68.0,3.0,2862427.0
Albania,AL,2020-07-24,108.0,3.0,2862427.0
Albania,AL,2020-07-25,104.0,5.0,2862427.0
Albania,AL,2020-07-26,67.0,6.0,2862427.0
Albania,AL,2020-07-27,126.0,4.0,2862427.0
Albania,AL,2020-07-28,117.0,6.0,2862427.0
Albania,AL,2020-07-29,117.0,4.0,2862427.0
Albania,AL,2020-07-30,108.0,2.0,2862427.0
Albania,AL,2020-07-31,92.0,4.0,2862427.0
Albania,AL,2020-08-01,79.0,3.0,2862427.0
Albania,AL,2020-08-02,120.0,4.0,2862427.0
Albania,AL,2020-08-03,123.0,5.0,2862427.0
Albania,AL,2020-08-04,101.0,6.0,2862427.0
Albania,AL,2020-08-05,130.0,4.0,2862427.0
Albania,AL,2020-08-06,139.0,6.0,2862427.0
Albania,AL,2020-08-07,127.0,6.0,2862427.0
Albania,AL,2020-08-08,135.0,1.0,2862427.0
Albania,AL,2020-08-09,124.0,4.0,2862427.0
Albania,AL,2020-08-10,136.0,6.0,2862427.0
